Sample,Genotype
GB0276,Genotype004
GB0277,Genotype004
GB0278,Genotype004
GB0279,Genotype004
GB0280,Genotype004
GB0281,Genotype004
GB0282,Genotype004
GB0283,Genotype004
GB0284,Genotype004
GB0285,Genotype004
GB0286,Genotype004
GB0290,Genotype004
GB0291,Genotype004
GB0293,Genotype004
GB0294,Genotype004
GB0295,Genotype004
GB0296,Genotype004
GB0297,Genotype004
GB0298,Genotype004
GB0299,Genotype004
GB0300,Genotype004
GB0301,Genotype004
GB0305,Genotype004
GB0306,Genotype004
GB0307,Genotype004
GB0308,Genotype004
GB0309,Genotype004
GB0313,Genotype004
GB0314,Genotype004
GB0315,Genotype004
GB0317,Genotype004
GB0321,Genotype004
GB0322,Genotype004
GB0323,Genotype004
GB0326,Genotype004
GB0327,Genotype004
GB0328,Genotype004
GB0329,Genotype004
GB0331,Genotype004
GB0332,Genotype004
GB0336,Genotype004
GB0338,Genotype004
GB0341,Genotype004
GB0342,Genotype004
GB0343,Genotype004
GB0344,Genotype004
GB0346,Genotype004
GB0347,Genotype004
GB0348,Genotype004
GB0349,Genotype004
GB0350,Genotype004
GB0352,Genotype004
GB0353,Genotype004
GB0354,Genotype004
GB0357,Genotype004
GB0360,Genotype004
GB0362,Genotype004
GB0363,Genotype004
GB0364,Genotype004
GB0365,Genotype004
GB0367,Genotype004
GB0368,Genotype004
GB0369,Genotype004
GB0370,Genotype004
GB0374,Genotype004
GB0375,Genotype004
GB0376,Genotype004
GB0377,Genotype004
GB0378,Genotype004
GB0380,Genotype004
GB0381,Genotype004
GB0383,Genotype004
GB0384,Genotype004
GB0385,Genotype004
GB0386,Genotype004
GB0387,Genotype004
GB0389,Genotype004
GB0393,Genotype004
GB0394,Genotype004
GB0395,Genotype004
GB0398,Genotype004
GB0399,Genotype004
GB0400,Genotype004
GB0401,Genotype004
GB0403,Genotype004
GB0404,Genotype004
GB0405,Genotype004
GB0407,Genotype004
GB0408,Genotype004
GB0409,Genotype004
GB0410,Genotype004
GB0411,Genotype004
GB0412,Genotype004
GB0414,Genotype004
GB0415,Genotype004
GB0416,Genotype004
GB0419,Genotype004
GB0420,Genotype004
GB0421,Genotype004
GB0422,Genotype004
GB0427,Genotype004
GB0431,Genotype004
GB0432,Genotype004
GB0434,Genotype004
GB0436,Genotype004
GB0438,Genotype004
GB0444,Genotype004
GB0449,Genotype004
GB0452,Genotype004
GB0459,Genotype004
GB0466,Genotype004
GB0467,Genotype004
GB0475,Genotype004
GB0477,Genotype004
GB0478,Genotype004
GB0481,Genotype004
GB0483,Genotype004
GB0484,Genotype004
GB0489,Genotype004
GB0490,Genotype004
GB0495,Genotype004
GB0497,Genotype004
GB0499,Genotype004
GB0508,Genotype004
GB0509,Genotype004
GB0510,Genotype004
GB0511,Genotype004
GB0525,Genotype004
GB0526,Genotype004
GB0527,Genotype004
GB0529,Genotype004
GB0536,Genotype004
GB0537,Genotype004
GB0541,Genotype004
GB0542,Genotype004
GB0544,Genotype004
GB0545,Genotype004
GB0548,Genotype004
GB0549,Genotype004
GB0568,Genotype004
GB0569,Genotype004
GB0571,Genotype004
GB0579,Genotype004
GB0582,Genotype004
GB0588,Genotype004
GB0593,Genotype004
GB0595,Genotype004
GB0596,Genotype004
GB0597,Genotype004
GB0598,Genotype004
GB0599,Genotype004
GB0600,Genotype004
GB0601,Genotype004
GB0602,Genotype004
GB0603,Genotype004
GB0604,Genotype004
GB0605,Genotype004
GB0606,Genotype004
GH1692,Genotype004
GH1694,Genotype004
GH1695,Genotype004
GH1696,Genotype004
GH1698,Genotype004
GH1699,Genotype004
GH1700,Genotype004
GH1703,Genotype004
GH1704,Genotype004
GH1705,Genotype004
GH1707,Genotype004
GH1708,Genotype004
GH1709,Genotype004
GH1710,Genotype004
GH1711,Genotype004
GH1712,Genotype004
GH1713,Genotype004
GH1714,Genotype004
GH1715,Genotype004
GH1716,Genotype004
GH1717,Genotype004
GH1718,Genotype004
GH1719,Genotype004
GH1720,Genotype004
GH1721,Genotype004
GH1722,Genotype004
GH1723,Genotype004
GH1724,Genotype004
GH1725,Genotype004
GH1727,Genotype004
GH1728,Genotype004
GH1729,Genotype004
GH1730,Genotype004
GH1732,Genotype004
GH1734,Genotype004
GH1735,Genotype004
GH1736,Genotype004
GH1737,Genotype004
GH1738,Genotype004
GH1739,Genotype004
GH1740,Genotype004
GH1741,Genotype004
GH1742,Genotype004
GH1743,Genotype004
GH1744,Genotype004
GH1745,Genotype004
GH1746,Genotype004
GH1747,Genotype004
GH1749,Genotype004
GH1751,Genotype004
GH1752,Genotype004
GH1755,Genotype004
GH1756,Genotype004
GH1757,Genotype004
GH1758,Genotype004
GH1762,Genotype004
GH1764,Genotype004
GH1766,Genotype004
GH1767,Genotype004
GH1768,Genotype004
GH1805,Genotype004
GH1830,Genotype004
WILD005,Genotype004
WILD007,Genotype004
ZGH0910,Genotype004
ZGH1186,Genotype004
GB0006,Genotype005
GB0007,Genotype006
GB0008,Genotype007
GB0009,Genotype008
GB0011,Genotype008
GB0025,Genotype008
GB0031,Genotype008
GB0038,Genotype008
GB0042,Genotype008
GB0043,Genotype008
GB0055,Genotype008
GB0058,Genotype008
GB0062,Genotype008
GB0063,Genotype008
GB0067,Genotype008
GB0076,Genotype008
GB0077,Genotype008
GB0095,Genotype008
GB0099,Genotype008
GB0102,Genotype008
GB0109,Genotype008
GB0110,Genotype008
GB0111,Genotype008
GB0116,Genotype008
GB0120,Genotype008
GB0121,Genotype008
GB0127,Genotype008
GB0130,Genotype008
GB0136,Genotype008
GB0139,Genotype008
GB0151,Genotype008
GB0153,Genotype008
GB0154,Genotype008
GB0156,Genotype008
GB0158,Genotype008
GB0159,Genotype008
GB0163,Genotype008
GB0172,Genotype008
GB0173,Genotype008
GB0174,Genotype008
GB0189,Genotype008
GB0190,Genotype008
GB0194,Genotype008
GB0200,Genotype008
GB0204,Genotype008
GB0208,Genotype008
GB0214,Genotype008
GB0223,Genotype008
GB0229,Genotype008
GB0233,Genotype008
GB0237,Genotype008
GB0239,Genotype008
GB0249,Genotype008
GB0256,Genotype008
GB0260,Genotype008
GB0263,Genotype008
GB0266,Genotype008
GB0287,Genotype008
GB0288,Genotype008
GB0289,Genotype008
GB0302,Genotype008
GB0310,Genotype008
GB0311,Genotype008
GB0312,Genotype008
GB0316,Genotype008
GB0318,Genotype008
GB0319,Genotype008
GB0324,Genotype008
GB0330,Genotype008
GB0334,Genotype008
GB0335,Genotype008
GB0337,Genotype008
GB0345,Genotype008
GB0351,Genotype008
GB0358,Genotype008
GB0371,Genotype008
GB0372,Genotype008
GB0373,Genotype008
GB0392,Genotype008
GB0402,Genotype008
GB0406,Genotype008
GB0417,Genotype008
GB0418,Genotype008
GB0424,Genotype008
GB0425,Genotype008
GB0426,Genotype008
GB0428,Genotype008
GB0430,Genotype008
GB0437,Genotype008
GB0439,Genotype008
GB0445,Genotype008
GB0451,Genotype008
GB0453,Genotype008
GB0502,Genotype008
GB0505,Genotype008
GB0512,Genotype008
GB0514,Genotype008
GB0515,Genotype008
GB0516,Genotype008
GB0517,Genotype008
GB0518,Genotype008
GB0519,Genotype008
GB0520,Genotype008
GB0523,Genotype008
GB0524,Genotype008
GB0532,Genotype008
GB0534,Genotype008
GB0539,Genotype008
GB0540,Genotype008
GB0543,Genotype008
GB0607,Genotype008
GH0005,Genotype008
GH0006,Genotype008
GH0009,Genotype008
GH0010,Genotype008
GH0011,Genotype008
GH0012,Genotype008
GH0014,Genotype008
GH0016,Genotype008
GH0017,Genotype008
GH0019,Genotype008
GH0020,Genotype008
GH0021,Genotype008
GH0022,Genotype008
GH0023,Genotype008
GH0024,Genotype008
GH0026,Genotype008
GH0031,Genotype008
GH0033,Genotype008
GH0034,Genotype008
GH0036,Genotype008
GH0038,Genotype008
GH0039,Genotype008
GH0040,Genotype008
GH0047,Genotype008
GH0048,Genotype008
GH0050,Genotype008
GH0051,Genotype008
GH0053,Genotype008
GH0054,Genotype008
GH0055,Genotype008
GH0056,Genotype008
GH0060,Genotype008
GH0061,Genotype008
GH0062,Genotype008
GH0063,Genotype008
GH0064,Genotype008
GH0065,Genotype008
GH0066,Genotype008
GH0067,Genotype008
GH0087,Genotype008
GH0088,Genotype008
GH0105,Genotype008
GH0106,Genotype008
GH0108,Genotype008
GH0112,Genotype008
GH0115,Genotype008
GH0117,Genotype008
GH0118,Genotype008
GH0123,Genotype008
GH0124,Genotype008
GH0129,Genotype008
GH0130,Genotype008
GH0131,Genotype008
GH0132,Genotype008
GH0134,Genotype008
GH0137,Genotype008
GH0139,Genotype008
GH0140,Genotype008
GH0141,Genotype008
GH0142,Genotype008
GH0144,Genotype008
GH0145,Genotype008
GH0146,Genotype008
GH0148,Genotype008
GH0149,Genotype008
GH0151,Genotype008
GH0156,Genotype008
GH0157,Genotype008
GH0158,Genotype008
GH0163,Genotype008
GH0164,Genotype008
GH0165,Genotype008
GH0166,Genotype008
GH0167,Genotype008
GH0172,Genotype008
GH0174,Genotype008
GH0176,Genotype008
GH0178,Genotype008
GH0182,Genotype008
GH0194,Genotype008
GH0199,Genotype008
GH0201,Genotype008
GH0204,Genotype008
GH0208,Genotype008
GH0209,Genotype008
GH0211,Genotype008
GH0212,Genotype008
GH0217,Genotype008
GH0218,Genotype008
GH0219,Genotype008
GH0224,Genotype008
GH0229,Genotype008
GH0230,Genotype008
GH0232,Genotype008
GH0233,Genotype008
GH0236,Genotype008
GH0237,Genotype008
GH0238,Genotype008
GH0239,Genotype008
GH0240,Genotype008
GH0241,Genotype008
GH0250,Genotype008
GH0253,Genotype008
GH0256,Genotype008
GH0261,Genotype008
GH0262,Genotype008
GH0265,Genotype008
GH0268,Genotype008
GH0272,Genotype008
GH0273,Genotype008
GH0274,Genotype008
GH0275,Genotype008
GH0276,Genotype008
GH0277,Genotype008
GH0278,Genotype008
GH0279,Genotype008
GH0280,Genotype008
GH0281,Genotype008
GH0282,Genotype008
GH0284,Genotype008
GH0286,Genotype008
GH0289,Genotype008
GH0290,Genotype008
GH0301,Genotype008
GH0302,Genotype008
GH0303,Genotype008
GH0304,Genotype008
GH0305,Genotype008
GH0306,Genotype008
GH0309,Genotype008
GH0310,Genotype008
GH0311,Genotype008
GH0312,Genotype008
GH0317,Genotype008
GH0318,Genotype008
GH0319,Genotype008
GH0320,Genotype008
GH0321,Genotype008
GH0325,Genotype008
GH0326,Genotype008
GH0327,Genotype008
GH0329,Genotype008
GH0331,Genotype008
GH0335,Genotype008
GH0336,Genotype008
GH0337,Genotype008
GH0338,Genotype008
GH0339,Genotype008
GH0341,Genotype008
GH0342,Genotype008
GH0343,Genotype008
GH0345,Genotype008
GH0347,Genotype008
GH0348,Genotype008
GH0351,Genotype008
GH0352,Genotype008
GH0353,Genotype008
GH0356,Genotype008
GH0357,Genotype008
GH0359,Genotype008
GH0360,Genotype008
GH0362,Genotype008
GH0363,Genotype008
GH0364,Genotype008
GH0365,Genotype008
GH0368,Genotype008
GH0369,Genotype008
GH0371,Genotype008
GH0374,Genotype008
GH0377,Genotype008
GH0378,Genotype008
GH0380,Genotype008
GH0381,Genotype008
GH0382,Genotype008
GH0383,Genotype008
GH0384,Genotype008
GH0385,Genotype008
GH0386,Genotype008
GH0389,Genotype008
GH0390,Genotype008
GH0393,Genotype008
GH0396,Genotype008
GH0398,Genotype008
GH0399,Genotype008
GH0400,Genotype008
GH0401,Genotype008
GH0403,Genotype008
GH0404,Genotype008
GH0407,Genotype008
GH0408,Genotype008
GH0409,Genotype008
GH0410,Genotype008
GH0411,Genotype008
GH0412,Genotype008
GH0414,Genotype008
GH0415,Genotype008
GH0416,Genotype008
GH0417,Genotype008
GH0419,Genotype008
GH0420,Genotype008
GH0421,Genotype008
GH0424,Genotype008
GH0425,Genotype008
GH0426,Genotype008
GH0427,Genotype008
GH0428,Genotype008
GH0430,Genotype008
GH0433,Genotype008
GH0436,Genotype008
GH0437,Genotype008
GH0440,Genotype008
GH0441,Genotype008
GH0444,Genotype008
GH0445,Genotype008
GH0446,Genotype008
GH0447,Genotype008
GH0450,Genotype008
GH0451,Genotype008
GH0452,Genotype008
GH0453,Genotype008
GH0455,Genotype008
GH0456,Genotype008
GH0459,Genotype008
GH0463,Genotype008
GH0465,Genotype008
GH0466,Genotype008
GH0469,Genotype008
GH0470,Genotype008
GH0471,Genotype008
GH0472,Genotype008
GH0475,Genotype008
GH0476,Genotype008
GH0477,Genotype008
GH0478,Genotype008
GH0483,Genotype008
GH0484,Genotype008
GH0486,Genotype008
GH0487,Genotype008
GH0488,Genotype008
GH0490,Genotype008
GH0491,Genotype008
GH0493,Genotype008
GH0494,Genotype008
GH0495,Genotype008
GH0496,Genotype008
GH0497,Genotype008
GH0498,Genotype008
GH0499,Genotype008
GH0500,Genotype008
GH0501,Genotype008
GH0502,Genotype008
GH0503,Genotype008
GH0504,Genotype008
GH0505,Genotype008
GH0506,Genotype008
GH0508,Genotype008
GH0512,Genotype008
GH0513,Genotype008
GH0515,Genotype008
GH0516,Genotype008
GH0517,Genotype008
GH0519,Genotype008
GH0520,Genotype008
GH0521,Genotype008
GH0522,Genotype008
GH0523,Genotype008
GH0524,Genotype008
GH0525,Genotype008
GH0526,Genotype008
GH0527,Genotype008
GH0528,Genotype008
GH0529,Genotype008
GH0530,Genotype008
GH0531,Genotype008
GH0532,Genotype008
GH0533,Genotype008
GH0536,Genotype008
GH0539,Genotype008
GH0541,Genotype008
GH0542,Genotype008
GH0547,Genotype008
GH0548,Genotype008
GH0550,Genotype008
GH0551,Genotype008
GH0553,Genotype008
GH0554,Genotype008
GH0555,Genotype008
GH0557,Genotype008
GH0558,Genotype008
GH0559,Genotype008
GH0560,Genotype008
GH0561,Genotype008
GH0562,Genotype008
GH0563,Genotype008
