Sample,Genotype
GH1244,Genotype008
GH1245,Genotype008
GH1247,Genotype008
GH1256,Genotype008
GH1267,Genotype008
GH1268,Genotype008
GH1272,Genotype008
GH1273,Genotype008
GH1275,Genotype008
GH1276,Genotype008
GH1277,Genotype008
GH1279,Genotype008
GH1281,Genotype008
GH1283,Genotype008
GH1284,Genotype008
GH1286,Genotype008
GH1287,Genotype008
GH1289,Genotype008
GH1293,Genotype008
GH1295,Genotype008
GH1296,Genotype008
GH1297,Genotype008
GH1298,Genotype008
GH1300,Genotype008
GH1301,Genotype008
GH1302,Genotype008
GH1309,Genotype008
GH1314,Genotype008
GH1316,Genotype008
GH1318,Genotype008
GH1322,Genotype008
GH1327,Genotype008
GH1328,Genotype008
GH1329,Genotype008
GH1331,Genotype008
GH1334,Genotype008
GH1336,Genotype008
GH1337,Genotype008
GH1341,Genotype008
GH1342,Genotype008
GH1344,Genotype008
GH1346,Genotype008
GH1347,Genotype008
GH1349,Genotype008
GH1352,Genotype008
GH1355,Genotype008
GH1357,Genotype008
GH1358,Genotype008
GH1360,Genotype008
GH1361,Genotype008
GH1363,Genotype008
GH1366,Genotype008
GH1369,Genotype008
GH1371,Genotype008
GH1372,Genotype008
GH1373,Genotype008
GH1375,Genotype008
GH1376,Genotype008
GH1377,Genotype008
GH1378,Genotype008
GH1380,Genotype008
GH1381,Genotype008
GH1382,Genotype008
GH1383,Genotype008
GH1384,Genotype008
GH1386,Genotype008
GH1387,Genotype008
GH1390,Genotype008
GH1392,Genotype008
GH1393,Genotype008
GH1396,Genotype008
GH1397,Genotype008
GH1398,Genotype008
GH1399,Genotype008
GH1401,Genotype008
GH1402,Genotype008
GH1404,Genotype008
GH1405,Genotype008
GH1406,Genotype008
GH1409,Genotype008
GH1410,Genotype008
GH1411,Genotype008
GH1412,Genotype008
GH1413,Genotype008
GH1414,Genotype008
GH1415,Genotype008
GH1417,Genotype008
GH1418,Genotype008
GH1419,Genotype008
GH1420,Genotype008
GH1421,Genotype008
GH1423,Genotype008
GH1424,Genotype008
GH1426,Genotype008
GH1433,Genotype008
GH1439,Genotype008
GH1440,Genotype008
GH1441,Genotype008
GH1444,Genotype008
GH1445,Genotype008
GH1447,Genotype008
GH1451,Genotype008
GH1453,Genotype008
GH1454,Genotype008
GH1457,Genotype008
GH1458,Genotype008
GH1463,Genotype008
GH1466,Genotype008
GH1467,Genotype008
GH1468,Genotype008
GH1469,Genotype008
GH1470,Genotype008
GH1471,Genotype008
GH1472,Genotype008
GH1473,Genotype008
GH1475,Genotype008
GH1477,Genotype008
GH1478,Genotype008
GH1479,Genotype008
GH1480,Genotype008
GH1481,Genotype008
GH1482,Genotype008
GH1483,Genotype008
GH1484,Genotype008
GH1485,Genotype008
GH1486,Genotype008
GH1487,Genotype008
GH1488,Genotype008
GH1489,Genotype008
GH1490,Genotype008
GH1491,Genotype008
GH1492,Genotype008
GH1493,Genotype008
GH1494,Genotype008
GH1495,Genotype008
GH1496,Genotype008
GH1497,Genotype008
GH1498,Genotype008
GH1499,Genotype008
GH1500,Genotype008
GH1501,Genotype008
GH1502,Genotype008
GH1503,Genotype008
GH1504,Genotype008
GH1505,Genotype008
GH1506,Genotype008
GH1507,Genotype008
GH1509,Genotype008
GH1510,Genotype008
GH1511,Genotype008
GH1512,Genotype008
GH1513,Genotype008
GH1514,Genotype008
GH1515,Genotype008
GH1517,Genotype008
GH1518,Genotype008
GH1519,Genotype008
GH1531,Genotype008
GH1535,Genotype008
GH1536,Genotype008
GH1537,Genotype008
GH1538,Genotype008
GH1540,Genotype008
GH1541,Genotype008
GH1543,Genotype008
GH1545,Genotype008
GH1547,Genotype008
GH1550,Genotype008
GH1556,Genotype008
GH1559,Genotype008
GH1561,Genotype008
GH1562,Genotype008
GH1567,Genotype008
GH1568,Genotype008
GH1569,Genotype008
GH1586,Genotype008
GH1594,Genotype008
GH1603,Genotype008
GH1606,Genotype008
GH1608,Genotype008
GH1609,Genotype008
GH1613,Genotype008
GH1615,Genotype008
GH1618,Genotype008
GH1619,Genotype008
GH1620,Genotype008
GH1621,Genotype008
GH1625,Genotype008
GH1629,Genotype008
GH1632,Genotype008
GH1633,Genotype008
GH1634,Genotype008
GH1635,Genotype008
GH1636,Genotype008
GH1638,Genotype008
GH1639,Genotype008
GH1641,Genotype008
GH1643,Genotype008
GH1644,Genotype008
GH1645,Genotype008
GH1647,Genotype008
GH1648,Genotype008
GH1650,Genotype008
GH1651,Genotype008
GH1652,Genotype008
GH1653,Genotype008
GH1654,Genotype008
GH1662,Genotype008
GH1664,Genotype008
GH1665,Genotype008
GH1667,Genotype008
GH1668,Genotype008
GH1669,Genotype008
GH1671,Genotype008
GH1672,Genotype008
GH1673,Genotype008
GH1674,Genotype008
GH1675,Genotype008
GH1676,Genotype008
GH1678,Genotype008
GH1679,Genotype008
GH1680,Genotype008
GH1681,Genotype008
GH1682,Genotype008
GH1686,Genotype008
GH1687,Genotype008
GH1689,Genotype008
GH1690,Genotype008
GH1691,Genotype008
GH1753,Genotype008
GH1761,Genotype008
GH1765,Genotype008
GH1771,Genotype008
GH1775,Genotype008
GH1776,Genotype008
GH1777,Genotype008
GH1780,Genotype008
GH1781,Genotype008
GH1786,Genotype008
GH1788,Genotype008
GH1790,Genotype008
GH1797,Genotype008
GH1798,Genotype008
GH1799,Genotype008
GH1800,Genotype008
GH1801,Genotype008
GH1803,Genotype008
GH1806,Genotype008
GH1812,Genotype008
GH1815,Genotype008
GH1816,Genotype008
GH1817,Genotype008
GH1818,Genotype008
GH1821,Genotype008
GH1822,Genotype008
GH1823,Genotype008
GH1824,Genotype008
GH1826,Genotype008
GH1828,Genotype008
GH1829,Genotype008
GH1831,Genotype008
GH1832,Genotype008
GH1833,Genotype008
GH1835,Genotype008
GH1837,Genotype008
GH1838,Genotype008
GH1839,Genotype008
GH1840,Genotype008
GH1841,Genotype008
GH1843,Genotype008
GH1845,Genotype008
GH1848,Genotype008
GH1849,Genotype008
GH1851,Genotype008
GH1852,Genotype008
GH1853,Genotype008
GH1854,Genotype008
GH1855,Genotype008
GH1856,Genotype008
GH1857,Genotype008
GH1858,Genotype008
GH1862,Genotype008
GH1863,Genotype008
GH1864,Genotype008
GH1869,Genotype008
GH1877,Genotype008
GH1879,Genotype008
GH1881,Genotype008
GH1882,Genotype008
GH1883,Genotype008
GH1884,Genotype008
GH1886,Genotype008
GH1887,Genotype008
GH1888,Genotype008
GH1890,Genotype008
GH1891,Genotype008
GH1892,Genotype008
GH1896,Genotype008
GH1899,Genotype008
GH1900,Genotype008
GH1903,Genotype008
GH1906,Genotype008
GH1910,Genotype008
GHL004,Genotype008
GHL007,Genotype008
GHL008,Genotype008
GHL009,Genotype008
GHL010,Genotype008
GHL011,Genotype008
GHL012,Genotype008
GHL014,Genotype008
GHL015,Genotype008
GHL016,Genotype008
GHL017,Genotype008
GHL019,Genotype008
GHL023,Genotype008
GHL025,Genotype008
GHL027,Genotype008
GHL028,Genotype008
GHL032,Genotype008
ZGH0004,Genotype008
ZGH0009,Genotype008
ZGH0014,Genotype008
ZGH0016,Genotype008
ZGH0017,Genotype008
ZGH0019,Genotype008
ZGH0021,Genotype008
ZGH0033,Genotype008
ZGH0037,Genotype008
ZGH0038,Genotype008
ZGH0039,Genotype008
ZGH0040,Genotype008
ZGH0041,Genotype008
ZGH0043,Genotype008
ZGH0045,Genotype008
ZGH0047,Genotype008
ZGH0048,Genotype008
ZGH0049,Genotype008
ZGH0054,Genotype008
ZGH0055,Genotype008
ZGH0060,Genotype008
ZGH0061,Genotype008
ZGH0064,Genotype008
ZGH0067,Genotype008
ZGH0072,Genotype008
ZGH0074,Genotype008
ZGH0075,Genotype008
ZGH0076,Genotype008
ZGH0078,Genotype008
ZGH0079,Genotype008
ZGH0080,Genotype008
ZGH0082,Genotype008
ZGH0083,Genotype008
ZGH0086,Genotype008
ZGH0087,Genotype008
ZGH0088,Genotype008
ZGH0089,Genotype008
ZGH0091,Genotype008
ZGH0092,Genotype008
ZGH0094,Genotype008
ZGH0097,Genotype008
ZGH0098,Genotype008
ZGH0101,Genotype008
ZGH0106,Genotype008
ZGH0107,Genotype008
ZGH0110,Genotype008
ZGH0112,Genotype008
ZGH0114,Genotype008
ZGH0116,Genotype008
ZGH0117,Genotype008
ZGH0119,Genotype008
ZGH0125,Genotype008
ZGH0128,Genotype008
ZGH0131,Genotype008
ZGH0133,Genotype008
ZGH0134,Genotype008
ZGH0136,Genotype008
ZGH0137,Genotype008
ZGH0138,Genotype008
ZGH0139,Genotype008
ZGH0142,Genotype008
ZGH0143,Genotype008
ZGH0146,Genotype008
ZGH0147,Genotype008
ZGH0150,Genotype008
ZGH0152,Genotype008
ZGH0153,Genotype008
ZGH0155,Genotype008
ZGH0156,Genotype008
ZGH0157,Genotype008
ZGH0159,Genotype008
ZGH0161,Genotype008
ZGH0166,Genotype008
ZGH0167,Genotype008
ZGH0168,Genotype008
ZGH0173,Genotype008
ZGH0176,Genotype008
ZGH0177,Genotype008
ZGH0180,Genotype008
ZGH0182,Genotype008
ZGH0183,Genotype008
ZGH0184,Genotype008
ZGH0185,Genotype008
ZGH0188,Genotype008
ZGH0189,Genotype008
ZGH0190,Genotype008
ZGH0192,Genotype008
ZGH0194,Genotype008
ZGH0195,Genotype008
ZGH0197,Genotype008
ZGH0198,Genotype008
ZGH0199,Genotype008
ZGH0200,Genotype008
ZGH0206,Genotype008
ZGH0207,Genotype008
ZGH0211,Genotype008
ZGH0215,Genotype008
ZGH0216,Genotype008
ZGH0219,Genotype008
ZGH0220,Genotype008
ZGH0221,Genotype008
ZGH0225,Genotype008
ZGH0227,Genotype008
ZGH0229,Genotype008
ZGH0232,Genotype008
ZGH0233,Genotype008
ZGH0235,Genotype008
ZGH0237,Genotype008
ZGH0238,Genotype008
ZGH0239,Genotype008
ZGH0240,Genotype008
ZGH0242,Genotype008
ZGH0244,Genotype008
ZGH0245,Genotype008
ZGH0249,Genotype008
ZGH0250,Genotype008
ZGH0251,Genotype008
ZGH0254,Genotype008
ZGH0255,Genotype008
ZGH0256,Genotype008
ZGH0257,Genotype008
ZGH0258,Genotype008
ZGH0260,Genotype008
ZGH0264,Genotype008
ZGH0267,Genotype008
ZGH0269,Genotype008
ZGH0271,Genotype008
ZGH0276,Genotype008
ZGH0277,Genotype008
ZGH0279,Genotype008
ZGH0280,Genotype008
ZGH0281,Genotype008
ZGH0283,Genotype008
ZGH0287,Genotype008
ZGH0293,Genotype008
ZGH0295,Genotype008
ZGH0296,Genotype008
ZGH0299,Genotype008
ZGH0302,Genotype008
ZGH0303,Genotype008
ZGH0306,Genotype008
ZGH0308,Genotype008
ZGH0310,Genotype008
ZGH0311,Genotype008
ZGH0313,Genotype008
ZGH0319,Genotype008
ZGH0322,Genotype008
ZGH0328,Genotype008
ZGH0329,Genotype008
ZGH0330,Genotype008
ZGH0331,Genotype008
ZGH0333,Genotype008
ZGH0334,Genotype008
ZGH0336,Genotype008
ZGH0337,Genotype008
ZGH0338,Genotype008
ZGH0339,Genotype008
ZGH0340,Genotype008
ZGH0342,Genotype008
ZGH0343,Genotype008
ZGH0344,Genotype008
ZGH0347,Genotype008
ZGH0348,Genotype008
ZGH0349,Genotype008
ZGH0351,Genotype008
ZGH0352,Genotype008
ZGH0360,Genotype008
ZGH0363,Genotype008
ZGH0364,Genotype008
ZGH0365,Genotype008
ZGH0366,Genotype008
ZGH0367,Genotype008
ZGH0368,Genotype008
ZGH0369,Genotype008
ZGH0372,Genotype008
ZGH0375,Genotype008
ZGH0376,Genotype008
ZGH0378,Genotype008
ZGH0389,Genotype008
ZGH0390,Genotype008
ZGH0393,Genotype008
ZGH0394,Genotype008
ZGH0398,Genotype008
ZGH0399,Genotype008
ZGH0400,Genotype008
ZGH0401,Genotype008
ZGH0402,Genotype008
ZGH0403,Genotype008
ZGH0404,Genotype008
ZGH0405,Genotype008
ZGH0409,Genotype008
ZGH0413,Genotype008
ZGH0414,Genotype008
ZGH0415,Genotype008
ZGH0416,Genotype008
ZGH0418,Genotype008
ZGH0421,Genotype008
ZGH0422,Genotype008
ZGH0423,Genotype008
ZGH0424,Genotype008
ZGH0434,Genotype008
ZGH0435,Genotype008
ZGH0436,Genotype008
ZGH0438,Genotype008
ZGH0440,Genotype008
ZGH0441,Genotype008
ZGH0442,Genotype008
ZGH0446,Genotype008
ZGH0447,Genotype008
ZGH0449,Genotype008
ZGH0450,Genotype008
ZGH0452,Genotype008
ZGH0454,Genotype008
ZGH0455,Genotype008
ZGH0456,Genotype008
ZGH0458,Genotype008
ZGH0459,Genotype008
ZGH0463,Genotype008
ZGH0464,Genotype008
ZGH0468,Genotype008
ZGH0469,Genotype008
ZGH0471,Genotype008
ZGH0472,Genotype008
ZGH0474,Genotype008
ZGH0476,Genotype008
ZGH0480,Genotype008
ZGH0482,Genotype008
ZGH0484,Genotype008
ZGH0485,Genotype008
ZGH0486,Genotype008
ZGH0487,Genotype008
ZGH0489,Genotype008
ZGH0491,Genotype008
ZGH0500,Genotype008
ZGH0501,Genotype008
ZGH0502,Genotype008
ZGH0505,Genotype008
ZGH0508,Genotype008
ZGH0509,Genotype008
ZGH0511,Genotype008
ZGH0512,Genotype008
ZGH0513,Genotype008
ZGH0514,Genotype008
ZGH0515,Genotype008
ZGH0517,Genotype008
ZGH0519,Genotype008
ZGH0520,Genotype008
ZGH0521,Genotype008
ZGH0522,Genotype008
ZGH0523,Genotype008
ZGH0524,Genotype008
ZGH0525,Genotype008
ZGH0529,Genotype008
ZGH0530,Genotype008
ZGH0532,Genotype008
ZGH0533,Genotype008
ZGH0535,Genotype008
ZGH0536,Genotype008
ZGH0538,Genotype008
ZGH0539,Genotype008
ZGH0540,Genotype008
ZGH0541,Genotype008
ZGH0542,Genotype008
ZGH0543,Genotype008
ZGH0545,Genotype008
ZGH0546,Genotype008
ZGH0548,Genotype008
ZGH0552,Genotype008
ZGH0553,Genotype008
ZGH0554,Genotype008
ZGH0555,Genotype008
ZGH0556,Genotype008
ZGH0557,Genotype008
ZGH0560,Genotype008
ZGH0561,Genotype008
ZGH0565,Genotype008
ZGH0570,Genotype008
ZGH0571,Genotype008
ZGH0572,Genotype008
ZGH0574,Genotype008
ZGH0576,Genotype008
ZGH0578,Genotype008
ZGH0580,Genotype008
ZGH0585,Genotype008
ZGH0590,Genotype008
ZGH0591,Genotype008
ZGH0592,Genotype008
ZGH0593,Genotype008
ZGH0594,Genotype008
ZGH0595,Genotype008
ZGH0596,Genotype008
ZGH0597,Genotype008
ZGH0598,Genotype008
ZGH0600,Genotype008
ZGH0602,Genotype008
ZGH0605,Genotype008
ZGH0606,Genotype008
ZGH0607,Genotype008
ZGH0608,Genotype008
ZGH0609,Genotype008
ZGH0610,Genotype008
ZGH0611,Genotype008
ZGH0613,Genotype008
ZGH0614,Genotype008
ZGH0615,Genotype008
ZGH0616,Genotype008
ZGH0617,Genotype008
ZGH0619,Genotype008
ZGH0620,Genotype008
ZGH0623,Genotype008
ZGH0624,Genotype008
ZGH0625,Genotype008
ZGH0627,Genotype008
ZGH0628,Genotype008
ZGH0629,Genotype008
ZGH0630,Genotype008
ZGH0631,Genotype008
ZGH0632,Genotype008
ZGH0634,Genotype008
ZGH0635,Genotype008
ZGH0636,Genotype008
ZGH0637,Genotype008
ZGH0638,Genotype008
ZGH0640,Genotype008
ZGH0643,Genotype008
ZGH0645,Genotype008
ZGH0649,Genotype008
ZGH0651,Genotype008
ZGH0656,Genotype008
ZGH0660,Genotype008
ZGH0661,Genotype008
ZGH0662,Genotype008
ZGH0664,Genotype008
ZGH0678,Genotype008
ZGH0680,Genotype008
ZGH0683,Genotype008
ZGH0685,Genotype008
ZGH0687,Genotype008
ZGH0688,Genotype008
ZGH0689,Genotype008
ZGH0696,Genotype008
ZGH0700,Genotype008
ZGH0701,Genotype008
ZGH0703,Genotype008
ZGH0704,Genotype008
ZGH0709,Genotype008
ZGH0710,Genotype008
ZGH0712,Genotype008
ZGH0713,Genotype008
ZGH0716,Genotype008
ZGH0717,Genotype008
ZGH0718,Genotype008
ZGH0719,Genotype008
ZGH0722,Genotype008
ZGH0725,Genotype008
ZGH0726,Genotype008
ZGH0728,Genotype008
ZGH0729,Genotype008
ZGH0730,Genotype008
ZGH0731,Genotype008
ZGH0732,Genotype008
ZGH0733,Genotype008
ZGH0734,Genotype008
ZGH0735,Genotype008
ZGH0736,Genotype008
ZGH0737,Genotype008
ZGH0739,Genotype008
ZGH0740,Genotype008
ZGH0741,Genotype008
ZGH0743,Genotype008
ZGH0744,Genotype008
ZGH0745,Genotype008
ZGH0746,Genotype008
ZGH0748,Genotype008
ZGH0750,Genotype008
ZGH0751,Genotype008
ZGH0752,Genotype008
ZGH0753,Genotype008
ZGH0754,Genotype008
ZGH0755,Genotype008
ZGH0759,Genotype008
ZGH0765,Genotype008
ZGH0766,Genotype008
ZGH0767,Genotype008
ZGH0769,Genotype008
ZGH0770,Genotype008
ZGH0771,Genotype008
ZGH0772,Genotype008
ZGH0773,Genotype008
ZGH0775,Genotype008
ZGH0777,Genotype008
ZGH0778,Genotype008
ZGH0779,Genotype008
ZGH0780,Genotype008
ZGH0781,Genotype008
ZGH0784,Genotype008
ZGH0785,Genotype008
ZGH0787,Genotype008
ZGH0788,Genotype008
ZGH0789,Genotype008
ZGH0790,Genotype008
ZGH0791,Genotype008
ZGH0792,Genotype008
ZGH0793,Genotype008
ZGH0794,Genotype008
ZGH0795,Genotype008
ZGH0796,Genotype008
ZGH0798,Genotype008
ZGH0799,Genotype008
ZGH0800,Genotype008
ZGH0802,Genotype008
ZGH0803,Genotype008
ZGH0804,Genotype008
ZGH0805,Genotype008
ZGH0806,Genotype008
ZGH0807,Genotype008
ZGH0808,Genotype008
ZGH0809,Genotype008
ZGH0810,Genotype008
ZGH0812,Genotype008
ZGH0813,Genotype008
ZGH0814,Genotype008
ZGH0817,Genotype008
ZGH0818,Genotype008
ZGH0819,Genotype008
ZGH0820,Genotype008
ZGH0821,Genotype008
ZGH0822,Genotype008
ZGH0824,Genotype008
ZGH0828,Genotype008
ZGH0829,Genotype008
ZGH0830,Genotype008
ZGH0831,Genotype008
ZGH0832,Genotype008
ZGH0833,Genotype008
ZGH0834,Genotype008
ZGH0837,Genotype008
ZGH0838,Genotype008
ZGH0840,Genotype008
ZGH0841,Genotype008
ZGH0843,Genotype008
ZGH0844,Genotype008
ZGH0845,Genotype008
ZGH0847,Genotype008
ZGH0848,Genotype008
ZGH0849,Genotype008
ZGH0850,Genotype008
ZGH0852,Genotype008
ZGH0854,Genotype008
ZGH0855,Genotype008
ZGH0856,Genotype008
ZGH0859,Genotype008
ZGH0861,Genotype008
ZGH0862,Genotype008
ZGH0863,Genotype008
ZGH0865,Genotype008
ZGH0866,Genotype008
ZGH0867,Genotype008
ZGH0869,Genotype008
ZGH0870,Genotype008
ZGH0871,Genotype008
ZGH0872,Genotype008
ZGH0874,Genotype008
ZGH0875,Genotype008
ZGH0876,Genotype008
ZGH0879,Genotype008
ZGH0880,Genotype008
ZGH0881,Genotype008
ZGH0882,Genotype008
ZGH0883,Genotype008
ZGH0884,Genotype008
ZGH0885,Genotype008
ZGH0886,Genotype008
ZGH0887,Genotype008
ZGH0888,Genotype008
ZGH0889,Genotype008
ZGH0890,Genotype008
ZGH0891,Genotype008
ZGH0892,Genotype008
ZGH0893,Genotype008
ZGH0894,Genotype008
ZGH0895,Genotype008
ZGH0896,Genotype008
ZGH0897,Genotype008
ZGH0898,Genotype008
ZGH0902,Genotype008
ZGH0905,Genotype008
ZGH0906,Genotype008
ZGH0908,Genotype008
ZGH0909,Genotype008
ZGH0911,Genotype008
ZGH0913,Genotype008
ZGH0914,Genotype008
ZGH0915,Genotype008
ZGH0916,Genotype008
ZGH0917,Genotype008
ZGH0918,Genotype008
ZGH0920,Genotype008
ZGH0922,Genotype008
ZGH0925,Genotype008
ZGH0927,Genotype008
ZGH0929,Genotype008
ZGH0933,Genotype008
ZGH0936,Genotype008
ZGH0937,Genotype008
ZGH0938,Genotype008
ZGH0939,Genotype008
ZGH0940,Genotype008
ZGH0942,Genotype008
ZGH0943,Genotype008
ZGH0946,Genotype008
ZGH0947,Genotype008
ZGH0949,Genotype008
ZGH0950,Genotype008
ZGH0951,Genotype008
ZGH0952,Genotype008
ZGH0953,Genotype008
ZGH0954,Genotype008
ZGH0955,Genotype008
ZGH0956,Genotype008
ZGH0957,Genotype008
ZGH0959,Genotype008
ZGH0960,Genotype008
ZGH0961,Genotype008
ZGH0963,Genotype008
ZGH0964,Genotype008
ZGH0965,Genotype008
ZGH0966,Genotype008
ZGH0967,Genotype008
ZGH0968,Genotype008
ZGH0969,Genotype008
ZGH0970,Genotype008
ZGH0971,Genotype008
ZGH0973,Genotype008
ZGH0976,Genotype008
ZGH0977,Genotype008
ZGH0978,Genotype008
ZGH0979,Genotype008
ZGH0980,Genotype008
ZGH0981,Genotype008
ZGH0982,Genotype008
ZGH0983,Genotype008
ZGH0984,Genotype008
ZGH0985,Genotype008
ZGH0987,Genotype008
ZGH0990,Genotype008
ZGH0992,Genotype008
ZGH0996,Genotype008
ZGH1000,Genotype008
ZGH1002,Genotype008
ZGH1003,Genotype008
ZGH1007,Genotype008
ZGH1015,Genotype008
ZGH1017,Genotype008
ZGH1021,Genotype008
ZGH1022,Genotype008
ZGH1026,Genotype008
ZGH1027,Genotype008
ZGH1030,Genotype008
ZGH1033,Genotype008
ZGH1034,Genotype008
ZGH1035,Genotype008
ZGH1036,Genotype008
ZGH1037,Genotype008
ZGH1038,Genotype008
ZGH1039,Genotype008
ZGH1040,Genotype008
ZGH1041,Genotype008
ZGH1043,Genotype008
ZGH1045,Genotype008
ZGH1046,Genotype008
ZGH1051,Genotype008
ZGH1053,Genotype008
ZGH1054,Genotype008
ZGH1055,Genotype008
ZGH1056,Genotype008
ZGH1057,Genotype008
ZGH1059,Genotype008
ZGH1060,Genotype008
ZGH1062,Genotype008
ZGH1063,Genotype008
ZGH1067,Genotype008
ZGH1068,Genotype008
ZGH1069,Genotype008
ZGH1072,Genotype008
ZGH1074,Genotype008
ZGH1075,Genotype008
ZGH1076,Genotype008
ZGH1079,Genotype008
ZGH1080,Genotype008
ZGH1082,Genotype008
ZGH1084,Genotype008
ZGH1086,Genotype008
ZGH1087,Genotype008
ZGH1088,Genotype008
ZGH1090,Genotype008
ZGH1092,Genotype008
ZGH1093,Genotype008
ZGH1094,Genotype008
ZGH1096,Genotype008
ZGH1098,Genotype008
ZGH1099,Genotype008
ZGH1101,Genotype008
ZGH1104,Genotype008
ZGH1105,Genotype008
ZGH1106,Genotype008
ZGH1107,Genotype008
ZGH1108,Genotype008
ZGH1110,Genotype008
ZGH1115,Genotype008
ZGH1117,Genotype008
ZGH1118,Genotype008
ZGH1119,Genotype008
ZGH1123,Genotype008
ZGH1125,Genotype008
ZGH1127,Genotype008
ZGH1128,Genotype008
ZGH1129,Genotype008
ZGH1130,Genotype008
ZGH1131,Genotype008
ZGH1133,Genotype008
ZGH1135,Genotype008
ZGH1138,Genotype008
ZGH1139,Genotype008
ZGH1140,Genotype008
ZGH1141,Genotype008
ZGH1142,Genotype008
ZGH1143,Genotype008
ZGH1144,Genotype008
ZGH1145,Genotype008
ZGH1146,Genotype008
ZGH1147,Genotype008
ZGH1148,Genotype008
ZGH1149,Genotype008
ZGH1150,Genotype008
ZGH1151,Genotype008
ZGH1152,Genotype008
ZGH1153,Genotype008
ZGH1154,Genotype008
ZGH1155,Genotype008
ZGH1156,Genotype008
ZGH1157,Genotype008
ZGH1158,Genotype008
ZGH1159,Genotype008
ZGH1160,Genotype008
ZGH1161,Genotype008
ZGH1162,Genotype008
ZGH1163,Genotype008
ZGH1164,Genotype008
ZGH1165,Genotype008
ZGH1166,Genotype008
ZGH1169,Genotype008
ZGH1171,Genotype008
ZGH1172,Genotype008
ZGH1173,Genotype008
ZGH1174,Genotype008
ZGH1175,Genotype008
ZGH1176,Genotype008
ZGH1178,Genotype008
ZGH1179,Genotype008
ZGH1183,Genotype008
ZGH1184,Genotype008
ZGH1185,Genotype008
ZGH1187,Genotype008
ZGH1188,Genotype008
ZGH1189,Genotype008
ZGH1190,Genotype008
ZGH1191,Genotype008
ZGH1192,Genotype008
ZGH1193,Genotype008
ZGH1194,Genotype008
ZGH1195,Genotype008
ZGH1196,Genotype008
ZGH1198,Genotype008
ZGH1199,Genotype008
ZGH1200,Genotype008
ZGH1201,Genotype008
ZGH1203,Genotype008
ZGH1204,Genotype008
ZGH1205,Genotype008
ZGH1207,Genotype008
GB0010,Genotype009
GB0012,Genotype010
GB0013,Genotype011
GB0014,Genotype012
GB0015,Genotype013
GB0016,Genotype014
GB0017,Genotype015
GB0018,Genotype016
GB0019,Genotype017
GB0020,Genotype018
GB0022,Genotype019
GB0028,Genotype019
GB0035,Genotype019
GB0052,Genotype019
GB0469,Genotype019
GB0504,Genotype019
GH0001,Genotype019
GH0002,Genotype019
GH0100,Genotype019
GH0101,Genotype019
GH0102,Genotype019
GH0103,Genotype019
GH0659,Genotype019
GH0830,Genotype019
GH0831,Genotype019
GH0832,Genotype019
GH0833,Genotype019
GH0911,Genotype019
GH0913,Genotype019
GH0916,Genotype019
GH0919,Genotype019
GH0924,Genotype019
GH0925,Genotype019
GH0926,Genotype019
GH1285,Genotype019
GH1520,Genotype019
GH1521,Genotype019
GHL002,Genotype019
WILD013,Genotype019
ZGH0001,Genotype019
ZGH0008,Genotype019
ZGH1001,Genotype019
GB0023,Genotype020
GB0024,Genotype021
GB0027,Genotype022
GB0030,Genotype023
GB0032,Genotype024
GB0034,Genotype025
GB0039,Genotype026
GB0040,Genotype027
GB0041,Genotype028
GB0044,Genotype029
GB0045,Genotype030
GB0046,Genotype031
GB0048,Genotype032
GB0050,Genotype033
GB0051,Genotype034
GB0053,Genotype035
GB0054,Genotype036
GB0056,Genotype037
GB0057,Genotype038
GB0066,Genotype039
GB0098,Genotype039
GB0103,Genotype039
GB0382,Genotype039
GH1508,Genotype039
GH1804,Genotype039
WILD006,Genotype039
GB0149,Genotype040
GB0423,Genotype040
GB0535,Genotype040
GH0007,Genotype040
GH0008,Genotype040
GH0013,Genotype040
GH0015,Genotype040
GH0018,Genotype040
GH0025,Genotype040
GH0027,Genotype040
GH0028,Genotype040
GH0029,Genotype040
GH0030,Genotype040
GH0032,Genotype040
GH0035,Genotype040
GH0037,Genotype040
GH0042,Genotype040
GH0043,Genotype040
GH0044,Genotype040
GH0045,Genotype040
GH0046,Genotype040
GH0049,Genotype040
GH0052,Genotype040
GH0057,Genotype040
GH0059,Genotype040
GH0086,Genotype040
GH0090,Genotype040
GH0091,Genotype040
GH0092,Genotype040
GH0093,Genotype040
GH0094,Genotype040
GH0095,Genotype040
GH0096,Genotype040
GH0097,Genotype040
GH0104,Genotype040
GH0107,Genotype040
GH0109,Genotype040
GH0110,Genotype040
GH0111,Genotype040
GH0114,Genotype040
GH0116,Genotype040
GH0119,Genotype040
GH0120,Genotype040
GH0121,Genotype040
GH0122,Genotype040
GH0125,Genotype040
GH0126,Genotype040
GH0127,Genotype040
GH0128,Genotype040
GH0133,Genotype040
GH0135,Genotype040
GH0136,Genotype040
GH0138,Genotype040
GH0143,Genotype040
GH0147,Genotype040
GH0150,Genotype040
GH0152,Genotype040
GH0154,Genotype040
GH0155,Genotype040
GH0159,Genotype040
GH0160,Genotype040
GH0161,Genotype040
GH0162,Genotype040
GH0168,Genotype040
GH0170,Genotype040
GH0171,Genotype040
GH0173,Genotype040
GH0175,Genotype040
GH0177,Genotype040
GH0179,Genotype040
GH0180,Genotype040
GH0183,Genotype040
GH0184,Genotype040
GH0185,Genotype040
GH0186,Genotype040
GH0187,Genotype040
GH0188,Genotype040
GH0189,Genotype040
